date,bucket_min,bucket_max,price_bucket,btc_amount,percentage,cumulative_pct,in_profit,avg_age_days,utxo_count
2026-09-18,0.0,249.60792,$0.000-$250,2880623.033041757,14.341510843757996,14.341510843757996,True,4723.843319712663,5788189
2026-09-18,249.60792,499.21584,$250-$499,335275.19215531996,1.6692058449804343,16.01071668873843,True,4092.8305420653633,6874443
2026-09-18,499.21584,748.82376,$499-$749,314988.33472060994,1.5682054077318133,17.57892209647024,True,3975.9558433852676,3620514
2026-09-18,748.82376,998.43168,$749-$998,123264.71865254008,0.6136874832044559,18.192609579674695,True,3833.103741045452,1448140
2026-09-18,998.43168,1248.0396,$998-$1k,84968.19724217996,0.42302387648291356,18.61563345615761,True,3541.1327973269526,1050814
2026-09-18,1248.0396,1497.64752,$1k-$1k,16463.714239059995,0.08196648210463335,18.69759993826224,True,3453.8239329602993,224018
2026-09-18,1497.64752,1747.2554400000001,$1k-$2k,5984.344030630002,0.029793740390054883,18.727393678652295,True,3420.077198706454,97379
2026-09-18,1747.2554400000001,1996.86336,$2k-$2k,16165.937178189988,0.08048396498993121,18.807877643642225,True,3407.615761042241,109888
2026-09-18,1996.86336,2246.47128,$2k-$2k,6256.324530270002,0.031147826377751434,18.839025470019976,True,3388.4291097558166,113024
2026-09-18,2246.47128,2496.0792,$2k-$2k,19954.97136677001,0.09934810454570989,18.938373574565688,True,3376.3668251311487,238453
2026-09-18,2496.0792,2745.68712,$2k-$3k,66902.49150369996,0.33308169669170024,19.27145527125739,True,3365.5455847268167,509757
2026-09-18,2745.68712,2995.29504,$3k-$3k,77534.82197302005,0.3860159685388428,19.65747123979623,True,3364.4400671428343,212070
2026-09-18,2995.29504,3244.90296,$3k-$3k,6286.569399769999,0.0312984039156406,19.688769643711872,True,3002.3515368882627,48794
2026-09-18,3244.90296,3494.5108800000003,$3k-$3k,36969.44188880999,0.1840565897219096,19.872826233433784,True,2927.797804129678,344471
2026-09-18,3494.5108800000003,3744.1188,$3k-$4k,106136.97520901995,0.5284150558487075,20.40124128928249,True,2843.6413239619624,560429
2026-09-18,3744.1188,3993.72672,$4k-$4k,97815.13936653007,0.4869838454452349,20.88822513472773,True,2839.7992114841363,851058
2026-09-18,3993.72672,4243.334640000001,$4k-$4k,44008.61068844001,0.21910189572445776,21.107327030452183,True,2982.1370307909647,461303
2026-09-18,4243.334640000001,4492.94256,$4k-$4k,48161.40620089001,0.23977706258612883,21.347104093038315,True,3226.9072778130285,314149
2026-09-18,4492.94256,4742.550480000001,$4k-$5k,19674.36627696,0.09795108005060456,21.445055173088917,True,3222.8037019784074,128950
2026-09-18,4742.550480000001,4992.1584,$5k-$5k,11845.74472017,0.05897539331181361,21.504030566400733,True,3008.4649288836686,114807
